标题,详细,地址,房型,价格,链接
宝山区-友家公寓（淞发路50号）,"交通购物超便利, 视野开阔, 拎包入住",距3号线淞发路290米,1室1厅1卫-18.0㎡ 1580房,1680,http://www.mgzf.com/room/519626.shtml?page=list&sourceType=2
松江区-凯富人才公寓,【公司直租 无中价费】整租 全新精装公寓 拎包入住 独立卫浴,位于 松江科技园 附近,1室0厅1卫-15.0㎡ 朝东大床房A,1300,http://www.mgzf.com/room/11022449.shtml?page=list&sourceType=2
浦东新区-浦发绿城901弄,"地处中心地段, 绿化覆盖率高, 采光充足",距11号线浦三路880米,2室2厅1卫-80.0㎡ ,6000,http://www.mgzf.com/room/15204301.shtml?page=list&sourceType=2
浦东新区-银马苑,"（网红租房）会员终身免佣交通便利, 中高楼层, 家具齐全",距8号线杨思306米,1室0厅1卫-36.0㎡ ,2350,http://www.mgzf.com/room/15292663.shtml?page=list&sourceType=2
浦东新区-极客公寓（川沙店）,精装公寓一室一卫，商超便利，新年特惠，月月租金减免200元,距2号线东延伸段川沙728米,1室0厅1卫-19.0㎡ 内窗一室,1388,http://www.mgzf.com/room/13934413.shtml?page=list&sourceType=2
浦东新区-上南二村,"地理位置优越, 地铁房, 精装修房",距7号线耀华路297米,1室2厅1卫-49.0㎡ ,3600,http://www.mgzf.com/room/15283927.shtml?page=list&sourceType=2
浦东新区-川杨新苑(二期),付一押一 可包水网费 独立厨卫 非合租 近张江高科软件园旁！,距13号线张江路333米,1室1厅1卫-32.0㎡ ,1600,http://www.mgzf.com/room/15449533.shtml?page=list&sourceType=2
杨浦区-湾流国际青年社区（隆昌路店）,"周边设施齐全, 中高楼层, 配备宽带",距12号线隆昌路538米,1室0厅1卫-30.0㎡ 原生裸心风C,5100,http://www.mgzf.com/room/8148297.shtml?page=list&sourceType=2
宝山区-友家联盟社区（水产路店）,"地铁沿线, 安静宜居, 配备宽带",距3号线水产路482米,1室0厅1卫-21.0㎡ 2180房型,2180,http://www.mgzf.com/room/10766969.shtml?page=list&sourceType=2
浦东新区-大华锦绣华城4街区,13号线地铁零距离，可直达南京西路，,距13号线华鹏路560米,四居室-南卧-24.0㎡,2900,http://www.mgzf.com/room/15229651.shtml?page=list&sourceType=2
浦东新区-金苹果花园,"交通便捷, 性价比高, 拎包入住",距6号线灵岩南路862米,2室2厅1卫-98.0㎡ ,6500,http://www.mgzf.com/room/15227323.shtml?page=list&sourceType=2
浦东新区-华夏小区,八号线杨思地铁口，黄金三楼，老装修一房，价格超级便宜，随时看,距8号线杨思259米,1室1厅1卫-35.0㎡ ,3000,http://www.mgzf.com/room/15216487.shtml?page=list&sourceType=2
浦东新区-东方康安家园,"周边设施齐全, 性价比高, 舍友素质高",距8号线芦恒路1173米,1室0厅0卫-13.0㎡ ,1100,http://www.mgzf.com/room/15203920.shtml?page=list&sourceType=2
